Bezirk,Ortsteil,Straße,Str. Anfang,Str. Ende,Ortsbeschreibung,Stadt,lat,lon
Tempelhof-Schöneberg,Mariendorf,Imbrosweg,Goldenes Horn,Dardanellenweg,Nr. 54,Berlin,52.4421209,13.4022536
Tempelhof-Schöneberg,Mariendorf,Imbrosweg,Goldenes Horn,Dardanellenweg,Nr. 66 b,Berlin,52.4421209,13.4022536
Tempelhof-Schöneberg,Mariendorf,Kitzingstr.,Porschestr.,Großbeerenstr.,E. Großbeerenstr.,Berlin,52.4328287,13.3717203
Tempelhof-Schöneberg,Mariendorf,Körtingstr.,Fritz-Werner-Str.,Hirzerweg,Nr. 45,Berlin,52.4339025,13.381906
Tempelhof-Schöneberg,Mariendorf,Körtingstr.,Fritz-Werner-Str.,Hirzerweg,Nr. 45,Berlin,52.4339025,13.381906
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Hirzerweg,Mariendorfer Damm,Nr. 1,Berlin,52.43113,13.3850293
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Hirzerweg,Mariendorfer Damm,Nr. 1,Berlin,52.43113,13.3850293
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Mariendorfer Damm,Hirzerweg,o. Nr.,Berlin,52.43114,13.3850294
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Mariendorfer Damm,Hirzerweg,o. Nr.,Berlin,52.43115,13.3850295
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Fritz-Werner-Str.,Hirzerweg,E. Fritz-Werner -Str.,Berlin,52.43116,13.3850296
Tempelhof-Schöneberg,Mariendorf,Kruckenbergstr.,Hirzerweg,Fritz-Werner-Str.,Nr. 49,Berlin,52.43117,13.3850297
Tempelhof-Schöneberg,Mariendorf,Lankwitzer Str.,Großbeerenstr.,Porschestr.,Bushaltestelle,Berlin,52.4379297,13.3803127
Tempelhof-Schöneberg,Mariendorf,Lankwitzer Str.,Altes Gaswerk Mariendorf,Greinerstr.,Nr. 48,Berlin,52.4379297,13.3803127
Tempelhof-Schöneberg,Mariendorf,Lankwitzer Str.,Greinerstr.,Dederingstr.,Nr. 4,Berlin,52.4379297,13.3803127
